מספר	חברה	תחום	אזור	צי רכב	טלפון	מייל
1	מערכות אשד	בטיחות אש	חולון	25+	03-5584555	info@ashd.co.il
2	פייר אאוט	כיבוי אש	"ראשל""צ"	20+	03-9518818	office@fireout.co.il
3	יהודה בטיחות	ציוד כיבוי	אשדוד	30+	08-8566543	info@yehuda-safety.co.il
4	קבוצת אלרם	גנרטורים	מרכז	25+	03-9021200	sales@elram.co.il
5	מנועי פרידמן	חשמל ותעשייה	"פ""ת"	20+	03-9244451	office@friedman-eng.co.il
6	גנרטורים פלוס	השכרה ושירות	מרכז	15+	072-3926222	info@generatorsplus.co.il
7	א.א. גנרטורים	שירות ותחזוקה	נתניה	15+	09-8611111	service@aa-generators.co.il
8	מדיטק	ציוד רפואי	מרכז	30+	02-9901111	service@meditech.co.il
9	דיגניה	ציוד רפואי	מרכז	20+	09-8351111	info@degania-med.co.il
10	דקלה שירות רפואי	שירותי שטח	מרכז	15+	03-6252222	service@dikla.co.il
11	קומסקו	"צמ""ה ושירות"	צור יגאל	50	09-7633222	info@comasco.co.il
12	קיסריה פולימרים	תעשייה	קיסריה	20+	04-6371111	info@caesarea-polymers.co.il
13	מפעלי חמצן וארגון	תעשייה והפצה	מרכז	40+	04-6374444	sales@oxygen.co.il
14	טירת צבי	הפצה ממוקדת	מרכז	30+	04-6411111	info@tiratzvi.co.il
15	מחלבות גד	הפצה	רחובות	45+	08-9311111	logistics@gad.co.il
16	בלדי	מזון והפצה	מרכז	45+	1-800-300-300	sales@baladi.co.il
17	מי עדן שירות	טכנאים	מרכז	40+	*5335	service@meyeden.co.il
18	נביעות שירות	טכנאים	נתניה	40+	*6444	info@neviot.co.il
19	מדיקל סרוויס	אמבולנסים	מרכז	15+	03-6111111	info@medicalservice.co.il
20	אמון ניקיון	שירותי אחזקה	נתניה	30+	09-8625222	service@emun-clean.co.il
21	אור ניקיון	אחזקה	מרכז	20+	03-6185111	info@or-clean.co.il
22	ניקיון הזהב	אחזקה	מרכז	15+	03-9212222	office@gold-clean.co.il
23	ברק ניקיון	אחזקה	מרכז	20+	03-5704040	office@barak-clean.co.il
24	ספץ אינסטלציה	תשתיות ושירות	מרכז	15+	03-9044444	service@spatz-plumbing.co.il
25	אינסטלציה המומחה	שירות שטח	מרכז	15+	072-3925555	info@plumber-expert.co.il
26	"ד""ר ביוב"	תשתיות	מרכז	20+	1-800-25-26-27	info@drbiuv.co.il
27	ביובית המרכז	תשתיות	מרכז	15+	03-9014444	service@biuv-center.co.il
28	אינסטלציה ירוקה	שירות	מרכז	15+	03-6503333	green@plumbing.co.il
29	טורנדו שירות	מיזוג אוויר	מרכז	50	*5055	service@tornado.co.il
